PIPS DATABASE,,,,,,,
GROUP,INSTRUMENT,TRADE TYPE,HIGH PRICE,LOW PRICE,TICKS,PIPS,DATE & TIME
CURRENCY,EURUSD,LONG,1.19,1.21002,2002,200.2,Sun Jul 09 07:36:16 2023

METAL,XAUUSD,LONG,1980,1980.32,32,3.2,Tue Aug 08 15:35:21 2023

METAL,XAUUSD,SHORT,1980,1979.89,11,1.1,Tue Aug 08 15:35:44 2023

CURRENCY,EURUSD,LONG,2.44396e+268,0,0,0,Tue Aug 08 19:13:42 2023

FUTURES,SPX 500,SHORT,0,0,0,0,Wed Aug 09 07:18:32 2023

METAL,XAUUSD,LONG,1980,0,0,0,Wed Aug 09 17:39:47 2023

CURRENCY,EURUSD,LONG,2.97079e-313,nan,0.6,0.06,Mon Sep 04 20:25:34 2023

CURRENCY,EURUSD,LONG,0,0,0,0,Sun Sep 24 14:44:05 2023

CURRENCY,EURUSD,LONG,0,0,0,0,Sun Sep 24 14:59:45 2023

CURRENCY,EURUSD,LONG,0,0,0,0,Sun Sep 24 15:08:12 2023

CURRENCY,EURUSD,LONG,0,0,0,0,Sun Sep 24 15:09:40 2023

CURRENCY,EURUSD,LONG,0,0,0,0,Sun Sep 24 15:10:00 2023

CURRENCY,EURUSD,LONG,0,0,0,0,Sun Sep 24 15:10:34 2023

METAL,XAUUSD,LONG,0,0,0,0,Sun Sep 24 15:10:56 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,Sun Sep 24 15:44:53 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,Sun Sep 24 15:46:50 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,Sun Sep 24 15:47:43 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,Sun Sep 24 15:50:57 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,Sun Sep 24 15:52:20 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,Sun Sep 24 15:52:46 2023

INDEX,NAS100/USTECH/NASDAQ,LONG,0,0,0,0,Sun Sep 24 15:53:36 2023

INDEX(2),US30,LONG,0,0,0,0,Sun Sep 24 15:54:57 2023

INDEX(2),US30,LONG,0,0,0,0,Sun Sep 24 15:56:09 2023

INDEX(2),US30,LONG,0,0,0,0,Sun Sep 24 15:56:48 2023

INDEX(2),US30,LONG,0,0,0,0,Sun Sep 24 15:57:45 2023

INDEX(2),US30,LONG,0,0,0,0,Sun Sep 24 15:58:21 2023

INDEX(2),US30,LONG,0,0,0,0,Sun Sep 24 16:00:07 2023

INDEX(2),US30,LONG,0,0,0,0,Sun Sep 24 16:00:39 2023

INDEX(2),US30,LONG,0,0,0,0,Sun Sep 24 16:04:16 2023

CURRENCY_2,USDJPY,LONG,0,0,0,0,Thu Apr 25 17:38:12 2024

METAL,XAUUSD,LONG,0,0,0,0,Fri Jul 19 19:27:15 2024

